method,factor,weight,expected_return,volatility,sharpe_ratio
max_sharpe,Gen_Crypto_VolumeAnomaly,0.10354,0.16051308945264928,5.5973201360005485,0.028676774876653856
max_sharpe,Miner_Crypto_SMACross,0.89646,0.16051308945264928,5.5973201360005485,0.028676774876653856
min_volatility,Agent_Crypto_MACD,0.06011,-0.16413065747777125,2.7016232198273067,-0.06075260838491861
min_volatility,Agent_Crypto_MomentumReversal,0.03615,-0.16413065747777125,2.7016232198273067,-0.06075260838491861
min_volatility,GFN_Crypto_LogPrice,0.18389,-0.16413065747777125,2.7016232198273067,-0.06075260838491861
min_volatility,GFN_Crypto_Momentum,0.06903,-0.16413065747777125,2.7016232198273067,-0.06075260838491861
min_volatility,Gen_Crypto_PriceAcceleration,0.11196,-0.16413065747777125,2.7016232198273067,-0.06075260838491861
min_volatility,Gen_Crypto_VolumeAnomaly,0.18669,-0.16413065747777125,2.7016232198273067,-0.06075260838491861
min_volatility,Genetic_Crypto_Composite,0.25338,-0.16413065747777125,2.7016232198273067,-0.06075260838491861
min_volatility,Miner_Crypto_SMACross,0.09879,-0.16413065747777125,2.7016232198273067,-0.06075260838491861
efficient_return,GFN_Crypto_LogPrice,0.04307,0.09999999999999996,4.006282411046388,0.024960796504079025
efficient_return,GFN_Crypto_Momentum,0.10246,0.09999999999999996,4.006282411046388,0.024960796504079025
efficient_return,Gen_Crypto_VolumeAnomaly,0.29898,0.09999999999999996,4.006282411046388,0.024960796504079025
efficient_return,Miner_Crypto_SMACross,0.55549,0.09999999999999996,4.006282411046388,0.024960796504079025
hrp,Agent_Crypto_MACD,0.26761892662984377,0.42088982778674294,0.08877194366225509,4.741248309128788
hrp,Agent_Crypto_MomentumReversal,0.06983858709009981,0.42088982778674294,0.08877194366225509,4.741248309128788
hrp,GFN_Crypto_LogPrice,0.06394609094057935,0.42088982778674294,0.08877194366225509,4.741248309128788
hrp,GFN_Crypto_Momentum,0.03216359074401008,0.42088982778674294,0.08877194366225509,4.741248309128788
hrp,Gen_Crypto_PriceAcceleration,0.2367598848514088,0.42088982778674294,0.08877194366225509,4.741248309128788
hrp,Gen_Crypto_VolumeAnomaly,0.05904604860607001,0.42088982778674294,0.08877194366225509,4.741248309128788
hrp,Genetic_Crypto_Composite,0.060060115514016535,0.42088982778674294,0.08877194366225509,4.741248309128788
hrp,Miner_Crypto_SMACross,0.21056675562397162,0.42088982778674294,0.08877194366225509,4.741248309128788
cla,Gen_Crypto_VolumeAnomaly,0.1037586823795278,0.16047859168342613,5.596116977479521,0.02867677575884151
cla,Miner_Crypto_SMACross,0.8962413176204722,0.16047859168342613,5.596116977479521,0.02867677575884151
